node_1|node_2|edge|chunk_id
india|health indicators|India's health indicators have improved in recent times but continue to lag behind those of its peer nations.|1942417eb060488e9bda8663f3e7270d
india|population|The country with a population of 1.3 billion|1942417eb060488e9bda8663f3e7270d
india|health workers|The country with a population of 1.3 billion, has an estimated active health workers density of doctors and nurses/midwives of 5.0 and 6.0 respectively, for 10,000 persons, which is much lower than the WHO threshold of 44.5 doctors, nurses, and midwives per 10,000 population.|1942417eb060488e9bda8663f3e7270d
health workers|doctors|The country with a population of 1.3 billion, has an estimated active health workers density of doctors and nurses/midwives of 5.0 and 6.0 respectively, for 10,000 persons|1942417eb060488e9bda8663f3e7270d
health workers|nurses/midwives|The country with a population of 1.3 billion, has an estimated active health workers density of doctors and nurses/midwives of 5.0 and 6.0 respectively, for 10,000 persons|1942417eb060488e9bda8663f3e7270d
india|human resources|Calls to urgently augment the skilled health workforce reinforce the central role human resources have in healthcare, which has evolved into a complex multifactorial issue.|1942417eb060488e9bda8663f3e7270d
skilled health workforce|healthcare|Calls to urgently augment the skilled health workforce reinforce the central role human resources have in healthcare, which has evolved into a complex multifactorial issue.|1942417eb060488e9bda8663f3e7270d
india|federal health budget|The recent increase in the federal health budget offers an unprecedented opportunity to do this.|1942417eb060488e9bda8663f3e7270d
public health sector|private health sector|The growing divide between the public and the burgeoning private health sector systems|1942417eb060488e9bda8663f3e7270d
private health sector|medical tourism industry|The latter's booming medical tourism industry and medical schools|1942417eb060488e9bda8663f3e7270d
private health sector|medical schools|The latter's booming medical tourism industry and medical schools|1942417eb060488e9bda8663f3e7270d
private health sector|national medical council|The newly minted National Medical Council|1942417eb060488e9bda8663f3e7270d
india|sustainable development goals (sdgs)|recommend policies that would help India achieve its SDGs|1942417eb060488e9bda8663f3e7270d
working conditions|indian public health standards|Working conditions may be governed by Indian public health standards in the context of public health and health policy.|1a445e7b648945f1ad54bfe798c722e0
working conditions|health sector reform|Working conditions can be impacted by health sector reform in the context of public health and health policy.|1a445e7b648945f1ad54bfe798c722e0
indian public health standards|health policy|Indian public health standards may influence health policy in the context of public health and epidemiology.|1a445e7b648945f1ad54bfe798c722e0
health sector reform|health policy|Health sector reform may have implications for health policy in the context of public health and epidemiology.|1a445e7b648945f1ad54bfe798c722e0
india|health indicators|India's health indicators have improved in recent times|a6cadb869626416a9116c63798c65981
india|peer nations|India’s health indicators have improved in recent times but continue to lag behind those of its peer nations|a6cadb869626416a9116c63798c65981
health workers’ density|who recommended thresholds|India has an estimated active health workers’ density much lower than the WHO recommended thresholds|a6cadb869626416a9116c63798c65981
skewed inter-state|urban-rural|The issue is compounded by the skewed inter-state, urban-rural, and public-private sector divide|a6cadb869626416a9116c63798c65981
public-private sector divide|skewed inter-state|The issue is compounded by the skewed inter-state, urban-rural, and public-private sector divide|a6cadb869626416a9116c63798c65981
public-private sector divide|urban-rural|The issue is compounded by the skewed inter-state, urban-rural, and public-private sector divide|a6cadb869626416a9116c63798c65981
skilled personnel|multi-factorial issue|The paucity of skilled personnel is a multi-factorial issue and needs to be addressed|a6cadb869626416a9116c63798c65981
india|universal health coverage|to accelerate its progress toward achieving universal health coverage|a6cadb869626416a9116c63798c65981
india|sustainable development goals|to accelerate its progress toward achieving sustainable development goals (SDGs)|a6cadb869626416a9116c63798c65981
public sectors|private sectors|overview of the public and private sectors and the growing divide between them|a6cadb869626416a9116c63798c65981
public sectors|divergent strategies|the growing divide between public and private sectors due to their divergent strategies|a6cadb869626416a9116c63798c65981
private sectors|medical tourism industry|the latter now having a booming medical tourism industry|a6cadb869626416a9116c63798c65981
private sectors|medical schools|and a burgeoning number of medical schools|a6cadb869626416a9116c63798c65981
opportunities|national medical council|identify the opportunities available within the newly created National Medical Council|a6cadb869626416a9116c63798c65981
recent increase|federal health budget|the recent increase in the federal health budget|a6cadb869626416a9116c63798c65981
paucity|quality health personnel|recommendations made to address the paucity of quality health personnel|a6cadb869626416a9116c63798c65981
transparent governance|health infrastructure|creation of transparent governance, strengthening the health infrastructure|a6cadb869626416a9116c63798c65981
health infrastructure|upskilling workforce|strengthening the health infrastructure, upskilling the existing workforce|a6cadb869626416a9116c63798c65981
existing workforce|partnerships|upskilling the existing workforce, and creating partnerships with the much larger private sector|a6cadb869626416a9116c63798c65981
methodology|read approach|The methodology used is the READ approach|a6cadb869626416a9116c63798c65981
read approach|document analysis|a systematic approach for document analysis in health policy research|a6cadb869626416a9116c63798c65981
document analysis|health policy research|consisting of readying one's materials, extracting the data, and analyzing it to distill the findings|a6cadb869626416a9116c63798c65981
literature search|articles|The literature search resulted in the selection and analysis of 56 articles.|000674f377584e2998170d0f1148bed2
articles|peer-reviewed journals|The 56 articles were published in peer-reviewed journals.|000674f377584e2998170d0f1148bed2
articles|experiential knowledge|The experiential knowledge of corresponding authors served as the foundation for the analysis of the 56 articles.|000674f377584e2998170d0f1148bed2
government-funded health sector|vulnerable populations|The government-funded health sector is the provider of healthcare to vulnerable populations.|cb3b88a3b04244af8c9788a371600070
government-funded health sector|underfunded|The government-funded health sector has been chronically underfunded with 1.28% of the GDP.|cb3b88a3b04244af8c9788a371600070
government-funded health sector|public hospital beds|India has 0.7 public hospital beds per 100,000 people in the government-funded health sector.|cb3b88a3b04244af8c9788a371600070
government-funded health sector|physicians|India has 0.576 physicians per 1,000 population in 2000 in the government-funded health sector.|cb3b88a3b04244af8c9788a371600070
government-funded health sector|national health mission (nhm)|The government has aimed to increase the quantum of services provided since the inception of the National Health Mission (NHM).|cb3b88a3b04244af8c9788a371600070
government-funded health sector|health insurance coverage|At best, 37% of the population had any health insurance coverage in 2018 in the government-funded health sector.|cb3b88a3b04244af8c9788a371600070
